RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024026,ESPACIOS NORMADOS,0,5,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021045,ESTADÍSTICA BÁSICA,353,6,2118,1566,426,126,828,684,1092,"39,09","14,53","82,61",",3","60,96","6,82","32,29","14,87","34,02","7,74","17,39","31,16","18,84","24,64","7,97",187,114,"53,82","39,38","6,80",0,0,0,137,88,0,0,50,26,0,0,0,0,"64,23",,52,,,"0,53",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,6102204-,ESTRUCTURAS ALGEBRAICAS,180,6,1080,864,216,0,360,246,378,"33,33","-2,34","68,33","-17,03","41,84","-26,69","22,78","-18,96","25,93","6,58","31,67",45,"6,67","6,67",10,98,41,"56,67","32,22","11,11",0,0,0,64,26,0,0,34,15,0,0,0,0,"40,63",,"44,12",,,"0,54",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021097,FÍSICA,298,6,1788,1278,390,120,318,198,1062,"17,79","-47,88","62,26","-24,41","28,45","-50,15","11,07","-60,62","37,26","6,64","37,74","41,51","7,55","9,43","3,77",116,33,"67,45","26,17","6,38",0,0,0,0,0,87,24,0,0,29,9,0,0,,"27,59",,"31,03",,"0,39",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61044081,FÍSICA MATEMÁTICA,0,5,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021022,FUNCIONES DE UNA VARIABLE I,336,6,2016,1602,306,108,642,516,1260,"31,85","-6,68","80,37","-2,42","55,84","-2,16","25,60","-8,93","38,46","7,04","19,63","36,45","28,97","5,61","9,35",154,86,"59,82","34,52","5,65",0,0,0,124,77,0,0,30,9,0,0,0,0,"62,10",,30,,,"0,46",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021074,FUNCIONES DE UNA VARIABLE II,364,6,2184,1620,450,114,564,396,972,"25,82","-24,35","70,21","-14,75","51,56","-9,65","18,13","-35,5","30,80","7,63","29,79","28,72","21,28","11,70","8,51",128,66,"68,96","26,92","4,12",0,0,0,0,0,92,58,0,0,36,8,0,0,,"63,04",,"22,22",,"0,35",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021080,FUNCIONES DE VARIAS VARIABLES I,291,6,1746,1398,312,36,612,462,1008,"35,05","2,7","75,49","-8,34","55,40","-2,93","26,46","-5,87","36,60","7,08","24,51","36,27","23,53","7,84","7,84",139,77,"61,17","29,90","8,93",0,0,0,0,0,99,62,0,0,40,15,0,0,,"62,63",,"37,50",,"0,48",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022027,FUNCIONES DE VARIAS VARIABLES II,126,6,756,672,84,0,474,462,564,"62,70","83,71","97,47","18,35","92,77","62,55","61,11","117,4","42,73","6,29","2,53","67,09","27,85","2,53",0,83,77,"34,92","64,29","0,79",0,0,0,76,72,0,0,7,5,0,0,0,0,"94,74",,"71,43",,,"0,66",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021105,GEOMETRÍA BÁSICA,481,6,2886,2178,570,138,612,528,828,"21,21","-37,86","86,27","4,75","59,06","3,49","18,30","-34,9","22,29","6,84","13,73","52,94","17,65","9,80","5,88",149,88,"74,43","20,17","5,41",0,0,0,0,0,98,51,0,0,51,37,0,0,,"52,04",,"72,55",,"0,31",16/09/2016 0:33:17,
