RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61021016,ÁLGEBRA LINEAL I,359,6,2154,2154,0,0,636,534,1074,"29,53","5,13","83,96","5,06","51,28","-9,92","24,79","10,42","33,27","6,41","16,04","58,49","15,09","6,60","3,77",117,60,"78,25","21,75",0,0,0,0,117,60,0,0,0,0,0,0,0,0,"51,28",,,,,"0,33",16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61021068,ÁLGEBRA LINEAL II,352,6,2112,2112,0,0,606,402,660,"28,69","2,14","66,34","-16,99","45,83","-19,5","19,03","-15,23","23,81","6,87","33,66","30,69","16,83","11,88","6,93",144,66,"74,68","19,48","5,84",0,0,0,0,0,90,46,0,0,54,20,0,0,,"51,11",,"37,04",,"0,41",16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61022091,ÁLGEBRA (MATEMÁTICAS),0,6,0,0,0,0,0,0,72,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61024090,AMPLIACIÓN DE TOPOLOGÍA,0,5,0,0,0,0,0,0,55,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61023073,ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES,0,6,0,0,0,0,0,0,54,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61022085,ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN,0,6,0,0,0,0,0,0,144,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61044112,ASTROFÍSICA GENERAL,0,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61022033,CÁLCULO DE PROBABILIDADES I,0,6,0,0,0,0,0,0,150,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61023038,CÁLCULO DE PROBABILIDADES II,0,6,0,0,0,0,0,0,72,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
2011,6102 - GRADO EN MATEMÁTICAS,6102,61024026,ESPACIOS NORMADOS,0,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16/09/2016 0:37:07,
