RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61021016,ÁLGEBRA LINEAL I,370,6,2220,1788,312,120,726,576,1608,"32,70","-7,65","79,34","-3,24","48,73","-19,19","25,95","-10,64","42,01","7,42","20,66","40,50","16,53","14,88","7,44",197,96,"56,22","34,32","9,46",0,0,0,143,67,0,0,54,29,0,0,0,0,"46,85",,"53,70",,,"0,53",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61021068,ÁLGEBRA LINEAL II,406,6,2436,1878,378,180,582,396,1272,"23,89","-32,53","68,04","-17,02","44,90","-25,54","16,26","-44,01","34,30","6,39","31,96","40,21","17,53","5,15","5,15",147,66,"70,20","23,40","6,40",0,0,0,0,0,96,46,0,0,51,20,0,0,,"47,92",,"39,22",,"0,36",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61022091,ÁLGEBRA (MATEMÁTICAS),163,6,978,690,210,78,270,186,630,"27,61","-22,03","68,89","-15,99","45,59","-24,39","19,02","-34,5","39,18","6,63","31,11","42,22","17,78","4,44","4,44",68,31,"68,71","20,86","10,43",0,0,0,0,0,42,19,0,0,26,12,0,0,,"45,24",,"46,15",,"0,42",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61024090,AMPLIACIÓN DE TOPOLOGÍA,26,5,130,130,0,0,70,65,40,"53,85","52,08","92,86","13,24","72,22","19,77",50,"72,18","23,53","7,25","7,14","35,71","28,57","14,29","14,29",18,13,"46,15","38,46","15,38",0,0,0,0,0,12,8,0,0,6,5,0,0,,"66,67",,"83,33",,"0,69",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61024032,AMPLIACIÓN DE VARIABLE COMPLEJA,24,5,120,120,0,0,75,75,165,"62,50","76,5",100,"21,95","88,24","46,33","62,50","115,22","57,89","8,23",0,"13,33","46,67",40,0,17,15,"33,33","62,50","4,17",0,0,0,13,11,0,0,4,4,0,0,0,0,"84,62",,100,,,"0,71",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61023073,ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES,56,6,336,270,66,0,126,120,756,"37,50","5,9","95,24","16,15","90,91","50,76","35,71","22,97","69,23","7,44","4,76","33,33","38,10","9,52","14,29",22,20,"60,71","39,29",0,0,0,0,0,0,17,16,0,0,5,4,0,0,,"94,12",,80,,"0,39",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61024173,ANÁLISIS MULTIVARIANTE (MATEMÁTICAS),18,5,90,90,0,0,45,25,95,50,"41,2","55,56","-32,24","38,46","-36,22","27,78","-4,34","51,35","5,78","44,44","55,56",0,0,0,13,5,"38,89",50,"11,11",0,0,0,0,0,8,4,0,0,5,1,0,0,,50,,20,,"0,72",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61022085,ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN,96,6,576,408,126,42,252,204,858,"43,75","23,55","80,95","-1,28","64,15","6,38","35,42","21,97","59,83","6,86","19,05","45,24","28,57","4,76","2,38",53,34,"52,08","40,63","7,29",0,0,0,0,0,34,23,0,0,19,11,0,0,,"67,65",,"57,89",,"0,55",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61044112,ASTROFÍSICA GENERAL,37,5,185,185,0,0,90,70,25,"48,65","37,39","77,78","-5,15","58,33","-3,27","37,84","30,3","11,90","8,73","22,22","5,56","38,89","22,22","11,11",24,14,"47,22","38,89","13,89",0,0,0,0,0,15,9,0,0,9,5,0,0,,60,,"55,56",,"0,65",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61022033,CÁLCULO DE PROBABILIDADES I,191,6,1146,792,252,102,444,222,810,"38,74","9,4",50,"-39,02","28,03","-53,52","19,37","-33,3","41,41","6,80",50,"25,68","16,22","6,76","1,35",132,37,"50,26","30,37","19,37",0,0,0,80,22,0,0,52,15,0,0,0,0,"27,50",,"28,85",,,"0,69",16/09/2016 0:32:37,
2014,6102 - GRADO EN MATEMÁTICAS,6102,61023038,CÁLCULO DE PROBABILIDADES II,80,6,480,390,90,0,174,114,618,"36,25","2,37","65,52","-20,1","42,22","-29,98","23,75","-18,22","56,28","7,44","34,48","24,14","20,69","10,34","10,34",45,19,"53,75","36,25",10,0,0,0,26,10,0,0,19,9,0,0,0,0,"38,46",,"47,37",,,"0,56",16/09/2016 0:32:37,
