"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2012-2013";"61021016";"ÁLGEBRA LINEAL I";"6";"1º";"1º";"34,92";"84";"7,56";"86,25"
"2012-2013";"61021068";"ÁLGEBRA LINEAL II";"6";"2º";"1º";"29,22";"75,61";"6,49";"92,11"
"2012-2013";"61022091";"ÁLGEBRA (MATEMÁTICAS)";"6";"2º";"2º";"28,93";"73,91";"6,85";"79,44"
"2012-2013";"61023073";"ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES";"6";"2º";"3º";"41,03";"100";"6,79";"100"
"2012-2013";"61022085";"ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN";"6";"2º";"2º";"42,11";"83,33";"7,04";"68,82"
"2012-2013";"61022033";"CÁLCULO DE PROBABILIDADES I";"6";"1º";"2º";"34,76";"69,23";"7,05";"71,87"
"2012-2013";"61023038";"CÁLCULO DE PROBABILIDADES II";"6";"1º";"3º";"40";"68,75";"6,92";""
"2012-2013";"61023050";"CAMPOS Y FORMAS";"6";"1º";"3º";"54";"92,59";"7,72";"100"
"2012-2013";"61021045";"ESTADÍSTICA BÁSICA";"6";"1º";"1º";"39,09";"82,61";"7,74";"90,43"
"2012-2013";"6102204-";"ESTRUCTURAS ALGEBRAICAS";"6";"1º";"2º";"33,33";"68,33";"6,58";"93,06"
"2012-2013";"61021097";"FÍSICA";"6";"2º";"1º";"17,79";"62,26";"6,64";"97,69"
"2012-2013";"61021022";"FUNCIONES DE UNA VARIABLE I";"6";"1º";"1º";"31,85";"80,37";"7,04";"78,68"
"2012-2013";"61021074";"FUNCIONES DE UNA VARIABLE II";"6";"2º";"1º";"25,82";"70,21";"7,63";"68,67"
"2012-2013";"61021080";"FUNCIONES DE VARIAS VARIABLES I";"6";"2º";"1º";"35,05";"75,49";"7,08";"85,38"
"2012-2013";"61022027";"FUNCIONES DE VARIAS VARIABLES II";"6";"1º";"2º";"62,70";"97,47";"6,29";"70,21"
"2012-2013";"61021105";"GEOMETRÍA BÁSICA";"6";"2º";"1º";"21,21";"86,27";"6,84";"73,02"
"2012-2013";"61023067";"GEOMETRÍA DIFERENCIAL DE CURVAS Y SUPERFICIES";"6";"2º";"3º";"42,22";"84,21";"7,64";"87,50"
"2012-2013";"61022010";"GEOMETRÍAS LINEALES";"6";"1º";"2º";"38,46";"76,67";"6,91";"83,25"
"2012-2013";"61022056";"HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS";"6";"1º";"2º";"50,39";"92,19";"7,82";"71,64"
"2012-2013";"61023104";"INFERENCIA ESTADÍSTICA (MATEMÁTICAS)";"6";"2º";"3º";"36,59";"66,67";"7,60";""
"2012-2013";"61023021";"INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES";"6";"1º";"3º";"61,54";"100";"7,79";"77,78"
"2012-2013";"61023044";"INTRODUCCIÓN A LOS ESPACIOS DE HILBERT";"6";"1º";"3º";"48,57";"94,12";"7,07";"94,59"
"2012-2013";"61021039";"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS";"6";"1º";"1º";"33,27";"84";"6,62";"85,71"
"2012-2013";"6102210-";"LENGUAJES DE PROGRAMACIÓN";"6";"2º";"2º";"41,56";"92,19";"8,38";"97,62"
"2012-2013";"61021051";"MATEMÁTICA DISCRETA";"6";"1º";"1º";"34,34";"80,88";"6,77";"87,63"
"2012-2013";"61023096";"MODELIZACIÓN";"6";"2º";"3º";"58,33";"100";"7,85";"95,83"
"2012-2013";"61022062";"PROGRAMACIÓN LINEAL Y ENTERA";"6";"2º";"2º";"36,80";"88,24";"6,33";"45,20"
"2012-2013";"6102308-";"RESOLUCIÓN NUMÉRICA DE ECUACIONES";"6";"2º";"3º";"71,43";"85";"8,52";"91,67"
"2012-2013";"61023015";"TOPOLOGÍA";"6";"1º";"3º";"40,35";"100";"8,58";"94,37"
"2012-2013";"61022079";"VARIABLE COMPLEJA";"6";"2º";"2º";"39,64";"95,52";"7,48";"75"
