"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2014-2015";"6102204-";"ESTRUCTURAS ALGEBRAICAS";"6";"1º";"2º";"30,94";"79,71";"7,16";"77,60"
"2014-2015";"61021097";"FÍSICA";"6";"2º";"1º";"20,49";"56,90";"6,93";"71,43"
"2014-2015";"61044081";"FÍSICA MATEMÁTICA";"5";"1º";"4º";"27,27";"100";"7,90";""
"2014-2015";"61021022";"FUNCIONES DE UNA VARIABLE I";"6";"1º";"1º";"28,32";"86,46";"6,94";"67,92"
"2014-2015";"61021074";"FUNCIONES DE UNA VARIABLE II";"6";"2º";"1º";"26,39";"69";"6,88";"53,57"
"2014-2015";"61021080";"FUNCIONES DE VARIAS VARIABLES I";"6";"2º";"1º";"33,22";"86,87";"7,21";"76,15"
"2014-2015";"61022027";"FUNCIONES DE VARIAS VARIABLES II";"6";"1º";"2º";"58,96";"93,67";"7,57";"59,85"
"2014-2015";"61021105";"GEOMETRÍA BÁSICA";"6";"2º";"1º";"22,97";"81,51";"7,51";"76,19"
"2014-2015";"61024049";"GEOMETRÍA DIFERENCIAL";"5";"1º";"4º";"51,85";"78,57";"7,92";"0"
"2014-2015";"61023067";"GEOMETRÍA DIFERENCIAL DE CURVAS Y SUPERFICIES";"6";"2º";"3º";"33,33";"76,67";"7,44";"98,33"
"2014-2015";"61022010";"GEOMETRÍAS LINEALES";"6";"1º";"2º";"27,72";"64,71";"6,73";"75"
"2014-2015";"61022056";"HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS";"6";"1º";"2º";"40,43";"94,74";"7,77";"82,76"
"2014-2015";"61024109";"HISTORIA DE LAS MATEMÁTICAS";"5";"2º";"4º";"37,14";"96,15";"8,43";"100"
"2014-2015";"61023104";"INFERENCIA ESTADÍSTICA (MATEMÁTICAS)";"6";"2º";"3º";"31,11";"78,57";"6,93";"13,04"
"2014-2015";"61024150";"INGLÉS CIENTÍFICO";"5";"2º";"4º";"51,06";"87,50";"8,45";"100"
"2014-2015";"6102401-";"INTEGRAL DE LEBESGUE";"5";"1º";"4º";"70,83";"100";"7,25";""
"2014-2015";"61024084";"INTRODUCCIÓN A LA ASTRONOMÍA";"5";"1º";"4º";"65,71";"97,83";"8,12";"97,14"
"2014-2015";"61023021";"INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES";"6";"1º";"3º";"56,79";"97,83";"7,47";"91,26"
"2014-2015";"61023044";"INTRODUCCIÓN A LOS ESPACIOS DE HILBERT";"6";"1º";"3º";"47,50";"84,21";"6,06";"85,71"
"2014-2015";"61021039";"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS";"6";"1º";"1º";"30,88";"75";"6,45";"89,33"
"2014-2015";"6102210-";"LENGUAJES DE PROGRAMACIÓN";"6";"2º";"2º";"36,89";"88,89";"7,45";"100"
"2014-2015";"61021051";"MATEMÁTICA DISCRETA";"6";"1º";"1º";"34,73";"86,29";"6,75";"80,29"
"2014-2015";"61023096";"MODELIZACIÓN";"6";"2º";"3º";"34,43";"90,48";"7,67";"100"
"2014-2015";"61024115";"MODELOS DE REGRESIÓN";"5";"1º";"4º";"53,57";"86,67";"6,31";""
"2014-2015";"61024061";"MODELOS ESTOCÁSTICOS";"5";"2º";"4º";"38,10";"37,50";"7,17";"45,45"
"2014-2015";"61024055";"PROCESOS ESTOCÁSTICOS";"5";"1º";"4º";"47,06";"81,25";"7,93";"66,67"
"2014-2015";"61022062";"PROGRAMACIÓN LINEAL Y ENTERA";"6";"2º";"2º";"32";"80";"6,47";"58,78"
"2014-2015";"6102308-";"RESOLUCIÓN NUMÉRICA DE ECUACIONES";"6";"2º";"3º";"50,91";"96,43";"6,87";"87,23"
"2014-2015";"61044098";"SISTEMAS DINÁMICOS";"5";"2º";"4º";"45,83";"100";"6,37";""
"2014-2015";"61024121";"TEORÍA DE JUEGOS (MATEMÁTICAS)";"5";"1º";"4º";"58,93";"96,97";"7,30";"72,22"
"2014-2015";"61024078";"TEORÍA DE LA DECISIÓN";"5";"1º";"4º";"47,50";"68,42";"7,08";""
"2014-2015";"61024138";"TEORÍA DE MUESTRAS";"5";"2º";"4º";"37,04";"90";"7,12";"41,67"
"2014-2015";"61023015";"TOPOLOGÍA";"6";"1º";"3º";"40,45";"80,56";"7,91";"86,67"
"2014-2015";"61024167";"TRABAJO FIN DE GRADO (MATEMÁTICAS)";"15";"1º y 2º";"4º";"58,82";"100";"8,13";"80,85"
"2014-2015";"61022079";"VARIABLE COMPLEJA";"6";"2º";"2º";"35,68";"83,95";"6,98";"44,44"
