"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2014-2015";"61021016";"ÁLGEBRA LINEAL I";"6";"1º";"1º";"25,48";"74,19";"6,87";"87,43"
"2014-2015";"61021068";"ÁLGEBRA LINEAL II";"6";"2º";"1º";"22,50";"81,11";"6,94";"87,38"
"2014-2015";"61022091";"ÁLGEBRA (MATEMÁTICAS)";"6";"2º";"2º";"35,07";"93,24";"7,82";"83,33"
"2014-2015";"61024090";"AMPLIACIÓN DE TOPOLOGÍA";"5";"2º";"4º";"48,28";"100";"7,80";"100"
"2014-2015";"61024032";"AMPLIACIÓN DE VARIABLE COMPLEJA";"5";"1º";"4º";"46,67";"85,71";"8,92";""
"2014-2015";"61023073";"ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES";"6";"2º";"3º";"43,84";"100";"8,10";"100"
"2014-2015";"61024173";"ANÁLISIS MULTIVARIANTE (MATEMÁTICAS)";"5";"2º";"4º";"29,63";"100";"5,82";"90,91"
"2014-2015";"61022085";"ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN";"6";"2º";"2º";"30,47";"89,74";"6,25";"67,50"
"2014-2015";"61044112";"ASTROFÍSICA GENERAL";"5";"2º";"4º";"65";"80,77";"7,07";"100"
"2014-2015";"61022033";"CÁLCULO DE PROBABILIDADES I";"6";"1º";"2º";"30,53";"56,52";"6,77";"81,01"
"2014-2015";"61023038";"CÁLCULO DE PROBABILIDADES II";"6";"1º";"3º";"45,63";"59,57";"6,20";"69,44"
"2014-2015";"61023050";"CAMPOS Y FORMAS";"6";"1º";"3º";"59,26";"95,83";"7,73";"100"
"2014-2015";"61024026";"ESPACIOS NORMADOS";"5";"2º";"4º";"46,43";"84,62";"6,72";""
"2014-2015";"61021045";"ESTADÍSTICA BÁSICA";"6";"1º";"1º";"33,66";"87,38";"8,31";"95,24"
