"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2013-2014";"61023044";"INTRODUCCIÓN A LOS ESPACIOS DE HILBERT";"6";"1º";"3º";"41,07";"78,26";"6,46";"80,56"
"2013-2014";"61021039";"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS";"6";"1º";"1º";"32,79";"71,43";"5,93";"68,33"
"2013-2014";"6102210-";"LENGUAJES DE PROGRAMACIÓN";"6";"2º";"2º";"37,01";"85,11";"8,21";"75"
"2013-2014";"61021051";"MATEMÁTICA DISCRETA";"6";"1º";"1º";"38,56";"92,67";"7,10";"94,92"
"2013-2014";"61023096";"MODELIZACIÓN";"6";"2º";"3º";"39,29";"95,45";"6,71";""
"2013-2014";"61024115";"MODELOS DE REGRESIÓN";"5";"1º";"4º";"46,15";"75";"6,32";"91,67"
"2013-2014";"61024061";"MODELOS ESTOCÁSTICOS";"5";"2º";"4º";"53,33";"12,50";"6,50";""
"2013-2014";"61024055";"PROCESOS ESTOCÁSTICOS";"5";"1º";"4º";"43,48";"50";"6,44";""
"2013-2014";"61022062";"PROGRAMACIÓN LINEAL Y ENTERA";"6";"2º";"2º";"29,19";"81,97";"6,10";"50,85"
"2013-2014";"6102308-";"RESOLUCIÓN NUMÉRICA DE ECUACIONES";"6";"2º";"3º";"63,04";"96,55";"7,13";"100"
"2013-2014";"61024121";"TEORÍA DE JUEGOS (MATEMÁTICAS)";"5";"1º";"4º";"68,57";"83,33";"7,96";"91,67"
"2013-2014";"61024078";"TEORÍA DE LA DECISIÓN";"5";"1º";"4º";"41,94";"61,54";"6,40";"9,09"
"2013-2014";"61024138";"TEORÍA DE MUESTRAS";"5";"2º";"4º";"48,28";"100";"7,58";"100"
"2013-2014";"61023015";"TOPOLOGÍA";"6";"1º";"3º";"38,81";"88,46";"6,64";"95,83"
"2013-2014";"61024167";"TRABAJO FIN DE GRADO (MATEMÁTICAS)";"15";"1º y 2º";"4º";"65,12";"100";"8,42";"100"
"2013-2014";"61022079";"VARIABLE COMPLEJA";"6";"2º";"2º";"28,34";"58,49";"6,69";"54,22"
