"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2013-2014";"61021016";"ÁLGEBRA LINEAL I";"6";"1º";"1º";"32,70";"79,34";"7,42";"66,67"
"2013-2014";"61021068";"ÁLGEBRA LINEAL II";"6";"2º";"1º";"23,89";"68,04";"6,39";"93,10"
"2013-2014";"61022091";"ÁLGEBRA (MATEMÁTICAS)";"6";"2º";"2º";"27,61";"68,89";"6,63";"83,87"
"2013-2014";"61024090";"AMPLIACIÓN DE TOPOLOGÍA";"5";"2º";"4º";"53,85";"92,86";"7,25";"81,82"
"2013-2014";"61024032";"AMPLIACIÓN DE VARIABLE COMPLEJA";"5";"1º";"4º";"62,50";"100";"8,23";"66,67"
"2013-2014";"61023073";"ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES";"6";"2º";"3º";"37,50";"95,24";"7,44";"66,67"
"2013-2014";"61024173";"ANÁLISIS MULTIVARIANTE (MATEMÁTICAS)";"5";"2º";"4º";"50";"55,56";"5,78";"100"
"2013-2014";"61022085";"ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN";"6";"2º";"2º";"43,75";"80,95";"6,86";"66,67"
"2013-2014";"61044112";"ASTROFÍSICA GENERAL";"5";"2º";"4º";"48,65";"77,78";"8,73";""
"2013-2014";"61022033";"CÁLCULO DE PROBABILIDADES I";"6";"1º";"2º";"38,74";"50";"6,80";"70,83"
"2013-2014";"61023038";"CÁLCULO DE PROBABILIDADES II";"6";"1º";"3º";"36,25";"65,52";"7,44";"69,44"
"2013-2014";"61023050";"CAMPOS Y FORMAS";"6";"1º";"3º";"55,84";"93,02";"7,75";"100"
"2013-2014";"61024026";"ESPACIOS NORMADOS";"5";"2º";"4º";"50";"71,43";"7,23";""
"2013-2014";"61021045";"ESTADÍSTICA BÁSICA";"6";"1º";"1º";"33,88";"87,10";"7,72";"98,33"
"2013-2014";"6102204-";"ESTRUCTURAS ALGEBRAICAS";"6";"1º";"2º";"36,22";"91,04";"6,66";"83,33"
"2013-2014";"61021097";"FÍSICA";"6";"2º";"1º";"26,71";"74,32";"6,75";"0"
"2013-2014";"61044081";"FÍSICA MATEMÁTICA";"5";"1º";"4º";"20";"50";"9,50";""
"2013-2014";"61021022";"FUNCIONES DE UNA VARIABLE I";"6";"1º";"1º";"26,69";"85,06";"7,05";"44,44"
"2013-2014";"61021074";"FUNCIONES DE UNA VARIABLE II";"6";"2º";"1º";"24,25";"73,03";"6,77";"88,89"
"2013-2014";"61021080";"FUNCIONES DE VARIAS VARIABLES I";"6";"2º";"1º";"35,05";"90,20";"7,32";"91,67"
"2013-2014";"61022027";"FUNCIONES DE VARIAS VARIABLES II";"6";"1º";"2º";"64,35";"98,65";"6,78";"83,33"
"2013-2014";"61021105";"GEOMETRÍA BÁSICA";"6";"2º";"1º";"24,26";"80,70";"7,56";"91,30"
"2013-2014";"61024049";"GEOMETRÍA DIFERENCIAL";"5";"1º";"4º";"52,94";"100";"7,30";""
"2013-2014";"61023067";"GEOMETRÍA DIFERENCIAL DE CURVAS Y SUPERFICIES";"6";"2º";"3º";"33,33";"95,45";"7,33";"80"
"2013-2014";"61022010";"GEOMETRÍAS LINEALES";"6";"1º";"2º";"43,67";"84,06";"6,56";"88,89"
"2013-2014";"61022056";"HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS";"6";"1º";"2º";"53,17";"89,55";"7,90";"80,56"
"2013-2014";"61024109";"HISTORIA DE LAS MATEMÁTICAS";"5";"2º";"4º";"58,44";"95,56";"8,57";"83,33"
"2013-2014";"61023104";"INFERENCIA ESTADÍSTICA (MATEMÁTICAS)";"6";"2º";"3º";"45,07";"71,88";"7,30";"100"
"2013-2014";"61024150";"INGLÉS CIENTÍFICO";"5";"2º";"4º";"58,97";"91,30";"8,50";"26,09"
"2013-2014";"6102401-";"INTEGRAL DE LEBESGUE";"5";"1º";"4º";"66,67";"85";"7,76";"100"
"2013-2014";"61024084";"INTRODUCCIÓN A LA ASTRONOMÍA";"5";"1º";"4º";"57,14";"93,18";"8,10";"91,67"
"2013-2014";"61023021";"INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES";"6";"1º";"3º";"38,24";"100";"7,16";"96,67"
