"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2010-2011";"61021016";"ÁLGEBRA LINEAL I";"6";"1º";"1º";"29,53";"83,96";"6,41";"84,04"
"2010-2011";"61021068";"ÁLGEBRA LINEAL II";"6";"2º";"1º";"28,69";"66,34";"6,87";"95,08"
"2010-2011";"61021045";"ESTADÍSTICA BÁSICA";"6";"1º";"1º";"27,14";"81,52";"7,51";"83,91"
"2010-2011";"61021097";"FÍSICA";"6";"2º";"1º";"21,81";"62,26";"6,69";"81,88"
"2010-2011";"61021022";"FUNCIONES DE UNA VARIABLE I";"6";"1º";"1º";"27,16";"92,05";"6,62";"74,06"
"2010-2011";"61021074";"FUNCIONES DE UNA VARIABLE II";"6";"2º";"1º";"23,62";"64,38";"6,78";"80,63"
"2010-2011";"61021080";"FUNCIONES DE VARIAS VARIABLES I";"6";"2º";"1º";"31,49";"84,62";"7,33";"88,69"
"2010-2011";"61021105";"GEOMETRÍA BÁSICA";"6";"2º";"1º";"21,95";"76,77";"7,33";"83,97"
"2010-2011";"61021039";"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS";"6";"1º";"1º";"32,62";"87,50";"6,84";"84,46"
"2010-2011";"61021051";"MATEMÁTICA DISCRETA";"6";"1º";"1º";"35,28";"84,30";"7,18";"85,46"
