"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2011-2012";"61021016";"ÁLGEBRA LINEAL I";"6";"1º";"1º";"28,71";"77,97";"6,61";"96,25"
"2011-2012";"61021068";"ÁLGEBRA LINEAL II";"6";"2º";"1º";"25,23";"60,55";"6,40";"81,77"
"2011-2012";"61022091";"ÁLGEBRA (MATEMÁTICAS)";"6";"2º";"2º";"23,01";"88,46";"7,75";"94,16"
"2011-2012";"61022085";"ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN";"6";"2º";"2º";"35,11";"87,88";"7,17";"91,37"
"2011-2012";"61022033";"CÁLCULO DE PROBABILIDADES I";"6";"1º";"2º";"29,32";"64,10";"6,69";"66,96"
"2011-2012";"61021045";"ESTADÍSTICA BÁSICA";"6";"1º";"1º";"24,30";"89,47";"7,99";"91,39"
"2011-2012";"6102204-";"ESTRUCTURAS ALGEBRAICAS";"6";"1º";"2º";"32,35";"81,82";"7,64";"96,19"
"2011-2012";"61021097";"FÍSICA";"6";"2º";"1º";"17,03";"79,63";"6,59";"84,29"
"2011-2012";"61021022";"FUNCIONES DE UNA VARIABLE I";"6";"1º";"1º";"23,58";"83,91";"6,76";"97,80"
"2011-2012";"61021074";"FUNCIONES DE UNA VARIABLE II";"6";"2º";"1º";"18,88";"70,27";"7,05";"84,21"
"2011-2012";"61021080";"FUNCIONES DE VARIAS VARIABLES I";"6";"2º";"1º";"31,08";"87,13";"7,63";"95,33"
"2011-2012";"61022027";"FUNCIONES DE VARIAS VARIABLES II";"6";"1º";"2º";"63,11";"92,31";"6,24";"81,75"
"2011-2012";"61021105";"GEOMETRÍA BÁSICA";"6";"2º";"1º";"19,89";"79,25";"6,62";"85,30"
"2011-2012";"61022010";"GEOMETRÍAS LINEALES";"6";"1º";"2º";"27,37";"80,77";"7,49";"85,71"
"2011-2012";"61022056";"HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS";"6";"1º";"2º";"42,98";"100";"7,95";"65,68"
"2011-2012";"61021039";"LENGUAJE MATEMÁTICO, CONJUNTOS Y NÚMEROS";"6";"1º";"1º";"26,95";"76,51";"6,51";"91,71"
"2011-2012";"6102210-";"LENGUAJES DE PROGRAMACIÓN";"6";"2º";"2º";"34,43";"95,24";"8,25";"88,60"
"2011-2012";"61021051";"MATEMÁTICA DISCRETA";"6";"1º";"1º";"32,68";"76,67";"7,01";"91,70"
"2011-2012";"61022062";"PROGRAMACIÓN LINEAL Y ENTERA";"6";"2º";"2º";"25";"80,56";"6,53";"47,27"
"2011-2012";"61022079";"VARIABLE COMPLEJA";"6";"2º";"2º";"38,46";"67,50";"7,24";"88,82"
